name,description,start,end,raised
Aigang (AIG),a blockchain protocol for digital insurance built on Ethereum.,02-Oct-17,09-Oct-17,--
Aion (AION),"A multi-tier blockchain system designed to address unsolved questions of scalability, privacy, and interoperability in blockchain networks",03-Oct-17,10-Oct-17,
EtherSportz – ESZCoin(ESZ),Ethereum-based eSports tournament platform and dividend token.,01-Oct-17,10-Oct-17,
MyWill (WIL),A decentralized platform for crypto funds management under various life circumstances.,20-Sep-17,10-Oct-17,
PlusCoin (PLC),"PlusCoin ICO is a Ethereum based token issued by Metaps Plus Inc., a mobile FinTech platform provider in Korea.",26-Sep-17,10-Oct-17,
Sun Multiwallet (SMT),New free multiwallet on the cryptocurrency market. Our own application,10-Sep-17,10-Oct-17,
TELE2-Teleport (TELE2),Building high-speed optic channel to cost-effectively connect Europe and China.,07-Sep-17,10-Oct-17,--
AirSwap (AST),A peer-to-peer protocol for trading Ethereum tokens.,10-Oct-17,11-Oct-17,
Ambrosus (AMB),combines sensors and blockchain technology to track shipments and quality assurance of consumer products.,13-Sep-17,11-Oct-17,--
BitIndia (BIT),A Wallet and Cryptocurrency Exchange focused on the Indian market.,11-Sep-17,11-Oct-17,
doc.ai (NRN),"Conversational AI-powered platform for on-demand, quantified biology and medical analysis.",28-Sep-17,11-Oct-17,
DomRaider ICO (ETH),"Auction protocol for claiming, then auctioning domain names in a variety of languages and countries.",12-Sep-17,11-Oct-17,
LAToken (LAT),Tokenize and trade real assets via crypto.,22-Aug-17,11-Oct-17,--
Redemption Tecnologies(BUZZ),"An anonymous, open source marketing platform.",11-Sep-17,11-Oct-17,
Anryze (RYZ),Anryze is a peer-to-peer distributed computing network for speech recognition and neural network education.,12-Sep-17,12-Oct-17,--
BitJob (STU),A decentralized marketplace on the Ethereum that connects students seeking short-term jobs with employers.,12-Sep-17,12-Oct-17,--
Siousada (SSD),Crypto Travel Portal.,22-Sep-17,12-Oct-17,
Ties.Network (TIE),A decentralized blockchain based business platform with integrated public distributed decentralized NoSQL database for content storage.,21-Sep-17,12-Oct-17,
FlipCoin (ATM),A growing network of cryptocurrency ATMs that make digital assets easier to acquire.,15-Sep-17,13-Oct-17,
Simple Token (ST),,10-Oct-17,13-Oct-17,
Viuly (VIU),A blockchain-based decentralized video sharing platform built on Ethereum.,10-Oct-17,13-Oct-17,
Drone Show Coin (DBR),A tokenized entertainment drone.,01-Oct-17,14-Oct-17,
Kexcoin (KEX),A Blockchain enabled property project.,15-Sep-17,14-Oct-17,
StartMining (ETH),Project based on a construction and launching of industrial mining farms in Russia and Europe. Planned income for the investor is estimated to be up to 122% per annum. All investments are supported by real assets and equipment and can be exchanged for mining facilities.,15-Sep-17,14-Oct-17,
